Commodity,Country,Value
All,All,1603472000000
Non-food manufactured goods,All,403154000000
"Milk powder, butter, and cheese",All,98779118000
Mechanical machinery and equip,All,57567000000
Meat and edible offal,All,51212749000
All,Australia,107686000000
All,China,182406000000
"Milk powder, butter, and cheese",China,31223536000
"Logs, wood, and wood articles",China,18102752000
Electrical machinery and equip,China,16478000000
Meat and edible offal,China,15465285000
All,East Asia (excluding China),89245000000
"Milk powder, butter, and cheese",East Asia (excluding China),27317137000
All,European Union (27),26644000000
All,Japan,23155000000
All,Total (excluding China),291991000000
All,United Kingdom,21591000000
All,United States,40477000000
Meat and edible offal,United States,11844338000
